WRC152M	WRC152MF	WRC154M	WRC154MF	WRC156M	WRC156MF	WRC158M	WRC158MF	WRC15AVRP2M	WRC15AVRP2MF	WRC15AVRP4M	WRC15AVRP4MF	WRC15AVRP6M	WRC15AVRP6MF	WRC15AVRP8M	WRC15AVRP8MF	WRC15AVRS2M	WRC15AVRS2MF	WRC15AVRS4M	WRC15AVRS4MF	WRC15AVRS6M	WRC15AVRS6MF	WRC15AVRS8M	WRC15AVRS8MF	WRC15ECRP2M	WRC15ECRP2MF	WRC15ECRP4M	WRC15ECRP4MF	WRC15ECRP6M	WRC15ECRP6MF	WRC15ECRP8M	WRC15ECRP8MF	WRC15ECRS2M	WRC15ECRS2MF	WRC15ECRS4M	WRC15ECRS4MF	WRC15ECRS6M	WRC15ECRS6MF	WRC15ECRS8M	WRC15ECRS8MF
WRC15ECRP2M	0.301968308489085	0.564075373195204	0.417920818426421	0.554356257067295	0.423793737626952	0.536560349093526	0.414442058650896	0.582456351837342	0.3463676667214	0.488699175227898	0.497651712350974	0.606318393517525	0.488288960910412	0.37210657344139	0.57059247018625	0.363010517120652	0.255355284901157	0.728613955155734	0.482140302838343	0.515026752172428	0.513192563179575	0.472452508912893	0.629193508929299	0.508630165763671	0	0.465709919153699	0.58511683377228	0.541310669907984	0.678411987732761	0.651362186342692	0.501845773401293	0.668992760074154	0.585504639724959	0.632346234037008	0.436798351009849	0.491940084511735	0.50638786143075	0.490529400613783	0.42408772492102	0.568438508616046
WRC15ECRP2MF	0.441250252583747	0.326415584935096	0.569776602775942	0.381687853502828	0.520587776911945	0.416197384574713	0.581880127790102	0.440057349375301	0.410130813629577	0.258534260599428	0.46122049506382	0.460327180062082	0.485527228581339	0.391216920975945	0.497163909269947	0.386153209276966	0.445590155673438	0.549570166190978	0.490450300293683	0.517183349764212	0.466440499300341	0.361403973181233	0.572677128651336	0.381727459095656	0.465709919153699	0	0.500405766962961	0.455940494538632	0.802181208053691	0.473100871404244	0.456406833668845	0.485440118504964	0.52400302802893	0.353025460156508	0.445876943504168	0.359114004445856	0.496070565778878	0.348560781290157	0.471739387230989	0.440829771219037
WRC15ECRP4M	0.48970714139639	0.528641200537572	0.595002966624564	0.500352239194461	0.503399715642561	0.447591981842761	0.610322881999183	0.507416869257077	0.441733368176202	0.501406086850686	0.351715675928193	0.548797067442774	0.341129149564568	0.576298270935816	0.349901845308206	0.553116187253243	0.541915447286888	0.46987271179996	0.392076661684373	0.704702043283466	0.336675915102179	0.430605830118307	0.4023550830243	0.393917379579691	0.58511683377228	0.500405766962961	0	0.492516637240255	0.858045939885012	0.400561808586544	0.376353708853427	0.519287165444749	0.427573340294359	0.5275462524058	0.348235522547449	0.397134375055553	0.371901760732555	0.419010106926622	0.372200135596673	0.498854005650019
WRC15ECRP4MF	0.51429623401531	0.460255923301594	0.585262169055787	0.48489205136824	0.560358077616221	0.474104522353144	0.581903499659706	0.500621065108917	0.528611385566747	0.40342467085432	0.564376173079165	0.348257536565866	0.359890895912412	0.396663072057772	0.574171899398651	0.426779565340107	0.549373246710386	0.623833452979182	0.579903523618345	0.526333673122664	0.500340060768256	0.406155615629486	0.632406829187826	0.40168688288622	0.541310669907984	0.455940494538632	0.492516637240255	0	0.743220677387737	0.54991018304889	0.547703756008799	0.554907452860154	0.592980011751584	0.505697059362174	0.529033646217154	0.327203144752108	0.529421754953498	0.390570471564106	0.472252055269533	0.504015780267222
WRC15ECRP6M	0.750770382743427	0.832305240957085	0.724839862375679	0.838328770525245	0.78242385232158	0.837573352424224	0.722898550724638	0.864481399407762	0.789669747116556	0.787835660999984	0.825705079849599	0.766811957909567	0.768896032022804	0.692092596837039	0.864204168682904	0.73154970407054	0.705892634498188	0.918479826501938	0.807855225216267	0.640840066755895	0.825278440149283	0.805365045407831	0.886686894780688	0.821447345365341	0.678411987732761	0.802181208053691	0.858045939885012	0.743220677387737	0	0.89294378043382	0.836094362166217	0.892100049160546	0.873526633238863	0.864527220630372	0.798326037278709	0.811993263091927	0.817708763525233	0.805296426907978	0.776470135171564	0.849241440006706
WRC15ECRP6MF	0.578374623755499	0.492722560063802	0.668852459016393	0.483209658562191	0.556240853577415	0.439181442536723	0.678229203771685	0.444485319223458	0.473574357062989	0.500088654593764	0.393892607565832	0.590322207980107	0.513614998887129	0.608117444380858	0.32629861552865	0.56783850551187	0.608722841623785	0.301461128543386	0.438948817994033	0.741565434706996	0.399560702875399	0.41837944563464	0.355652362553281	0.382993520992716	0.651362186342692	0.473100871404244	0.400561808586544	0.54991018304889	0.89294378043382	0	0.366544632431955	0.380702299145415	0.397612641431714	0.422838300818348	0.428754303987371	0.394902957772679	0.435481910047272	0.39108471840891	0.503443700240111	0.444656899770231
WRC15ECRP8M	0.446060827559906	0.52263980455808	0.518991384744694	0.467992926613616	0.382297000731529	0.409809328032103	0.515474650065962	0.443770250703352	0.345071195871006	0.495057017655324	0.234976519926672	0.62680565555062	0.423348183135634	0.508693930218594	0.209406954068408	0.451420980369127	0.473352243999006	0.524857570167424	0.298873377254418	0.678735858668384	0.305578773386291	0.374148302110146	0.311139401966079	0.368625856094744	0.501845773401293	0.456406833668845	0.376353708853427	0.547703756008799	0.836094362166217	0.366544632431955	0	0.472907007765576	0.38805109979829	0.519989432393161	0.266603606710763	0.376295532760312	0.263589827696597	0.390127212110835	0.308146535253106	0.43519073887492
WRC15ECRP8MF	0.626478513977743	0.48642780988866	0.696226490216316	0.477784933977885	0.598080466788042	0.459792657652974	0.689523727679531	0.375587942575904	0.567893009871376	0.50992846232459	0.52802414947523	0.600128114571031	0.572510787222711	0.608036316183337	0.473479784894733	0.556407428384058	0.662807781550036	0.422831413057873	0.567509180132153	0.743069906048051	0.505453472794091	0.4553788779905	0.529465412089899	0.419667708970039	0.668992760074154	0.485440118504964	0.519287165444749	0.554907452860154	0.892100049160546	0.380702299145415	0.472907007765576	0	0.546663894770381	0.372852835527717	0.528958642496447	0.404245481726551	0.517109609979784	0.435995776528679	0.56336400178163	0.384754455399171
WRC15ECRS2M	0.510514094278176	0.587045007378259	0.638862415853566	0.556940113652922	0.544342548437656	0.494738579387979	0.639144728111053	0.542837188261407	0.434826136287793	0.570071974853516	0.396762095769162	0.655437874225471	0.514485103044764	0.612092357504526	0.339841950369697	0.569437077735142	0.549405806471476	0.483408273630179	0.383521503059554	0.729633166771833	0.376963958318828	0.450423571117685	0.286485766941849	0.442462368007189	0.585504639724959	0.52400302802893	0.427573340294359	0.592980011751584	0.873526633238863	0.397612641431714	0.38805109979829	0.546663894770381	0	0.554560399675477	0.373047761913859	0.456870864721972	0.390807709437686	0.476564740271153	0.450313298054393	0.478966449905047
WRC15ECRS2MF	0.59634879504364	0.401064029542467	0.687861450440699	0.462114341602205	0.619766769795669	0.467800258037641	0.696328138021388	0.45019757643159	0.560832879695155	0.393991984360386	0.545992018815319	0.507191666607534	0.547434167790936	0.549205827453835	0.524809886660008	0.535236159424893	0.611747760794623	0.430508702146585	0.555924598300454	0.652075102269151	0.487999008767686	0.405992432369927	0.561593688876692	0.399722632854291	0.632346234037008	0.353025460156508	0.5275462524058	0.505697059362174	0.864527220630372	0.422838300818348	0.519989432393161	0.372852835527717	0.554560399675477	0	0.517496723251045	0.372865697177074	0.53301932874859	0.373292024898063	0.551314218244757	0.43545939745585
